datetime,f1,f2,f3,f4,Temp,label
1997-11-11 14:00,3.98702668,5.194140386,10.01784984,10.81254048,7.465,0
1997-11-11 15:00,4.050453414,5.156154245,10.21408941,10.80640371,7.795,0
1997-11-11 16:00,3.991237366,5.166506675,10.34710643,10.83985445,8.13,0
1997-11-11 17:00,3.990013679,5.152176688,10.21771508,10.84073514,8.29,0
1997-11-11 19:00,4.005077122,5.17711668,10.02993522,10.77159108,7.89,0
1997-11-11 22:00,3.98906886,5.182498798,10.14927918,10.80649025,7.355,0
1997-11-12 1:00,3.982766116,5.213193321,10.29068516,11.06646855,6.83,0
1997-11-12 2:00,3.980806955,5.190234989,10.114957,10.82584318,6.575,0
1997-11-12 3:00,4.001932231,5.215048,10.12908857,10.87523603,6.235,0
1997-11-12 6:00,3.998716861,5.151585467,10.04524869,11.11859584,5.165,0
1997-11-12 7:00,4.025127354,5.162612789,10.18587764,10.71709534,4.785,0
1997-11-12 8:00,3.997900962,5.140442626,10.1790698,10.83767752,4.465,0
1997-11-12 9:00,4.044596154,5.224045547,10.20670228,10.88617634,4.175,0
1997-11-12 11:00,3.973178579,5.137009808,10.0255293,10.78292363,3.99,0
1997-11-12 12:00,4.026508467,5.143689687,9.988717637,10.83691818,4.165,0
1997-11-12 13:00,4.02104061,5.169459531,10.06257496,10.83296796,4.72,0
1997-11-12 14:00,3.942589786,5.124041908,10.22370427,10.63684722,5.595,0
1997-11-12 15:00,4.005507435,5.086225956,10.03380363,10.74088219,6.3,0
1997-11-12 17:00,3.997048599,5.133769363,10.01830531,10.61724577,6.6,0
1997-11-12 18:00,4.011462545,5.119629494,10.18930976,10.74999757,6.5,0
1997-11-12 19:00,3.996114617,5.190856704,10.09969624,10.96009948,6.375,0
1997-11-12 20:00,4.006237657,5.178491423,10.00423249,10.89093238,6.17,0
1997-11-12 21:00,3.994199882,5.177315458,10.02523065,11.02098425,6.075,0
1997-11-12 22:00,4.040202159,5.185931569,10.05499216,10.81667543,5.905,0
1997-11-12 23:00,3.996635571,5.179643821,10.12895036,10.77147543,5.805,0
1997-11-13 0:00,4.002102575,5.239299311,10.15080162,10.96489363,5.715,0
1997-11-13 1:00,3.996180721,5.209667617,10.14270487,10.88792524,5.585,0
1997-11-13 7:00,4.03253991,5.161063135,10.116434,10.90569555,4.965,0
1997-11-13 9:00,4.030091554,5.120590423,10.08547702,10.89132895,4.81,0
1997-11-13 10:00,4.004608918,5.146027264,10.17208964,11.0062363,4.85,0
1997-11-13 11:00,4.007839371,5.086297623,10.05822979,10.7935306,4.96,0
1997-11-13 13:00,3.993010817,5.165319357,9.920595366,10.88495332,5.04,0
1997-11-13 14:00,4.009447316,5.053091144,10.21272414,10.73510736,4.99,0
1997-11-13 15:00,3.991776716,5.114966917,9.980726723,11.00478643,4.92,0
1997-11-13 16:00,3.988498285,5.166496258,10.18086138,10.96509108,4.905,0
1997-11-13 17:00,4.01915774,5.152613396,9.982938561,10.71102311,4.905,0
1997-11-13 18:00,3.995726616,5.140240386,10.10327524,10.90744078,4.89,0
1997-11-13 19:00,3.990998447,5.0970555,10.06903641,10.68289427,4.815,0
1997-11-13 21:00,4.003361851,5.155459202,10.17194739,10.83414534,4.58,0
1997-11-13 22:00,4.00900083,5.141352966,9.981993851,10.92246228,4.485,0
1997-11-14 0:00,3.998223399,5.123076115,10.30933209,10.76100307,4.395,0
1997-11-14 3:00,4.00534624,5.153093065,10.17726692,10.87708126,4.215,0
1997-11-14 4:00,4.014586671,5.114498473,10.14357843,10.96128928,4.155,0
1997-11-14 6:00,3.953697882,5.186300837,10.14743634,10.89350769,4.06,0
1997-11-14 7:00,4.003701295,5.146619489,10.18060731,10.72036255,3.91,0
1997-11-14 8:00,4.00312606,5.125891111,10.1987763,10.81307818,3.825,0
1997-11-14 9:00,4.002120207,5.121851781,10.08945173,10.75169288,3.765,0
1997-11-14 10:00,4.007895733,5.15354511,10.20160978,10.92784294,3.79,0
1997-11-14 11:00,3.981652481,5.164918078,10.13743104,10.64132079,3.8,0
1997-11-14 12:00,3.980619978,5.064273272,9.904879645,10.74508639,4.215,0
1997-11-14 13:00,3.998470072,5.171864376,10.16359453,10.82428966,4.865,0
1997-11-14 14:00,4.011163107,5.125471015,9.904865639,11.03087611,5.83,0
1997-11-14 15:00,3.993172847,5.107261359,10.07050123,10.76874228,6.605,0
1997-11-14 16:00,3.965263737,5.154797668,10.06937851,10.71141354,7,0
1997-11-14 17:00,3.973917819,5.163296478,10.10870751,10.99040083,7.095,0
1997-11-14 19:00,3.981341319,5.179343236,10.11060782,10.81607753,6.745,0
1997-11-14 20:00,4.003417704,5.176426202,10.10353175,10.89340263,6.51,0
1997-11-14 21:00,3.98112483,5.158210475,10.19761607,11.16869068,6.31,0
1997-11-14 22:00,4.007417909,5.148593296,10.10616932,10.98064077,6.04,0
1997-11-14 23:00,3.991351199,5.107018094,10.12505977,11.005734,5.65,0
1997-11-15 0:00,4.003331225,5.087004013,10.23175987,10.92262748,5.195,0
1997-11-15 1:00,3.997369069,5.094600075,10.2366112,11.11479055,4.795,0
1997-11-15 2:00,4.007728815,5.152359462,10.1612895,11.13613115,4.44,0
1997-11-15 3:00,4.007812621,5.147156436,10.21959459,10.92367045,4.15,0
1997-11-15 6:00,4.013688118,5.135685637,10.13780529,10.70330873,3.425,0
1997-11-15 7:00,4.020048768,5.175989892,10.16152112,10.79892024,3.205,0
1997-11-15 8:00,4.011389025,5.18182766,10.13976871,10.85812764,2.95,0
1997-11-15 10:00,4.007206252,5.153849101,10.15973985,10.732271,2.665,0
1997-11-15 11:00,4.008081151,5.145370849,10.03147193,10.74072785,2.785,0
1997-11-15 12:00,4.005155853,5.175436296,10.08929511,10.99299962,3.03,0
1997-11-15 13:00,3.984531031,5.110950087,9.96775173,11.04642884,3.445,0
1997-11-15 14:00,4.010614222,5.054406998,10.30107944,10.8372154,3.93,0
1997-11-15 17:00,3.968955216,5.12515496,10.15707247,10.84770829,5.18,0
1997-11-15 18:00,3.999908158,5.160232519,10.1096118,10.93215154,4.87,0
1997-11-15 19:00,4.016995053,5.160159301,10.06534012,10.71647767,4.425,0
1997-11-15 20:00,4.017984533,5.136304557,10.07603415,10.98372524,4.075,0
1997-11-15 21:00,3.989177278,5.08659351,10.13165157,10.90704688,3.765,0
1997-11-15 22:00,4.003745717,5.118712246,9.969581423,11.19651353,3.445,0
